<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20160628;0;65.6262000;66.2396000;63.4133000;63.9383000;373874
USDRUB;D;20160629;0;64.1615000;64.4802000;63.3994000;63.3994000;391023
USDRUB;D;20160630;0;63.6597000;66.2783000;62.8635000;63.6135000;417328
USDRUB;D;20160701;0;63.8440000;64.8250000;62.3717000;62.9585000;424796
USDRUB;D;20160704;0;63.8470000;66.4233000;62.1929000;63.8852000;321527
USDRUB;D;20160705;0;63.9338000;65.0233000;61.7345000;64.0008000;433140
USDRUB;D;20160706;0;64.5687000;64.8012000;63.9761000;63.9839000;439870
USDRUB;D;20160707;0;64.3093000;64.7511000;63.4474000;64.4130000;391493
USDRUB;D;20160708;0;64.5859000;65.3540000;62.8515000;62.8515000;340921
USDRUB;D;20160711;0;63.9050000;64.8758000;63.0114000;63.9210000;362415
USDRUB;D;20160712;0;64.2560000;64.3192000;62.9107000;63.9805000;376468
USDRUB;D;20160713;0;63.8724000;64.1874000;63.1538000;63.7569000;378918
USDRUB;D;20160714;0;63.8878000;64.0490000;62.6629000;62.8970000;387637
USDRUB;D;20160715;0;63.1244000;63.8571000;62.4439000;63.5960000;373664
USDRUB;D;20160718;0;63.4854000;63.7548000;62.6823000;62.8221000;272997
USDRUB;D;20160719;0;62.8547000;63.7480000;62.4198000;63.4891000;283960
USDRUB;D;20160720;0;63.4896000;63.9155000;63.1187000;63.7050000;356076
USDRUB;D;20160721;0;63.7967000;64.4490000;63.3730000;63.8886000;364809
USDRUB;D;20160722;0;64.2939000;64.9645000;63.8883000;64.8060000;334582
USDRUB;D;20160725;0;64.8441000;65.5371000;64.4250000;65.3141000;310141
USDRUB;D;20160726;0;65.3141000;66.5425000;65.0750000;65.7180000;386340
USDRUB;D;20160727;0;65.8939000;66.4488000;65.2601000;65.2601000;394331
USDRUB;D;20160728;0;65.7309000;66.9225000;65.2578000;66.6360000;408195
USDRUB;D;20160729;0;66.8880000;67.1643000;65.5780000;65.5983000;423062
USDRUB;D;20160801;0;66.0200000;67.2252000;65.2506000;66.8977000;408638
USDRUB;D;20160802;0;67.0262000;67.4453000;65.9813000;66.6500000;428771
USDRUB;D;20160803;0;66.8721000;67.0180000;65.9892000;65.9892000;421716
USDRUB;D;20160804;0;66.2951000;67.0564000;65.5060000;66.0124000;382203
USDRUB;D;20160805;0;65.7870000;66.0132000;64.2178000;65.4780000;397314
USDRUB;D;20160808;0;66.5479000;66.9060000;64.3430000;64.6760000;363920
USDRUB;D;20160809;0;64.6300000;65.1210000;64.2108000;64.7620000;367254
USDRUB;D;20160810;0;64.8083000;65.0152000;63.9977000;65.0116000;400525
USDRUB;D;20160811;0;64.9851000;65.1450000;63.3021000;64.2910000;411275
USDRUB;D;20160812;0;64.3315000;65.0519000;64.0650000;64.7330000;315364
USDRUB;D;20160815;0;64.8648000;64.8648000;62.9795000;64.0286000;376361
USDRUB;D;20160816;0;64.0130000;64.2564000;63.4330000;63.8040000;397505
USDRUB;D;20160817;0;63.8030000;64.3230000;63.4965000;63.9379000;434977
USDRUB;D;20160818;0;63.8682000;64.1842000;63.3450000;63.6010000;429021
USDRUB;D;20160819;0;63.6707000;64.1050000;63.1361000;63.7830000;437017
USDRUB;D;20160822;0;63.8797000;67.3629000;62.7796000;64.7555000;430804
USDRUB;D;20160823;0;64.7924000;64.9783000;64.2242000;64.5770000;430321
USDRUB;D;20160824;0;64.6326000;65.3275000;64.1300000;65.1840000;436450
USDRUB;D;20160825;0;65.2344000;65.2570000;64.5133000;64.5464000;396275
USDRUB;D;20160826;0;65.1031000;65.1142000;63.0850000;63.9021000;428965
USDRUB;D;20160829;0;64.4620000;65.1745000;63.0652000;63.0652000;354919
USDRUB;D;20160830;0;64.7456000;65.3639000;64.0116000;65.3385000;402112
USDRUB;D;20160831;0;65.3459000;65.4565000;65.0330000;65.3545000;404162
USDRUB;D;20160901;0;65.4083000;65.9954000;64.8300000;65.8440000;424160
USDRUB;D;20160902;0;66.0135000;66.0135000;64.8519000;65.0790000;401621
USDRUB;D;20160905;0;65.1500000;65.4827000;64.4260000;64.7707000;375794
USDRUB;D;20160906;0;64.9370000;65.1061000;64.2540000;64.4750000;388825
USDRUB;D;20160907;0;64.6193000;64.7439000;63.3510000;64.1901000;448058
USDRUB;D;20160908;0;64.1859000;64.5152000;63.5233000;63.8904000;481076
USDRUB;D;20160909;0;63.9995000;64.8285000;62.8254000;64.7270000;484697
USDRUB;D;20160912;0;64.6560000;65.3025000;63.4170000;64.5171000;542228
USDRUB;D;20160913;0;64.6608000;65.6230000;64.3750000;65.3020000;535868
USDRUB;D;20160914;0;65.3862000;65.6366000;64.7513000;65.1694000;611692
USDRUB;D;20160915;0;65.1570000;65.4030000;64.2460000;64.7060000;477244
USDRUB;D;20160916;0;64.7050000;65.6728000;64.0460000;65.6728000;483686
USDRUB;D;20160919;0;64.9500000;66.0982000;64.2895000;64.6000000;484955
USDRUB;D;20160920;0;64.6797000;65.0134000;64.3912000;64.6427000;466312
USDRUB;D;20160921;0;64.7964000;65.0414000;63.5720000;63.8960000;476997
USDRUB;D;20160922;0;63.9747000;64.2320000;63.4400000;63.5095000;465237
USDRUB;D;20160923;0;63.5799000;64.1104000;63.3413000;63.8600000;506901
USDRUB;D;20160926;0;64.0090000;64.3349000;63.2814000;63.8960000;480601
USDRUB;D;20160927;0;64.1374000;64.5175000;63.0056000;63.4950000;478137
USDRUB;D;20160928;0;63.7026000;64.4538000;62.9250000;63.0400000;532630
USDRUB;D;20160929;0;63.0913000;63.3836000;62.6670000;62.9220000;563522
USDRUB;D;20160930;0;62.9350000;63.9298000;62.5530000;62.7910000;491104
USDRUB;D;20161003;0;62.9388000;63.1124000;62.1170000;62.2044000;391955
USDRUB;D;20161004;0;62.2044000;62.8570000;62.1865000;62.6020000;456867
USDRUB;D;20161005;0;62.6020000;62.7954000;61.5895000;62.2308000;391385
USDRUB;D;20161006;0;62.3313000;62.5131000;61.8946000;61.9920000;431868
USDRUB;D;20161007;0;62.1236000;62.5265000;61.9125000;62.1120000;475363
USDRUB;D;20161010;0;62.2072000;62.5298000;61.6947000;61.8246000;382717
USDRUB;D;20161011;0;61.8246000;62.8964000;61.7836000;62.6759000;450319
USDRUB;D;20161012;0;62.5510000;63.2899000;62.2345000;62.9991000;421193
